,name,party1,party,term_of_office,prop_rep,where,loss,when,fta
186,박상천,,통 민,5,0,전라남도,,18대,20
187,김영록,,무 민,1,0,전라남도,,18대,125
188,유선호,,통 민,3,0,전라남도,,18대,22
189,이윤석,,무 민,1,0,전라남도,,18대,2
190,이낙연,,통 민,3,0,전라남도,,18대,38
191,배영식,,한 무,1,0,대구광역시,,18대,0
192,주성영,,한 새,2,0,대구광역시,,18대,0
193,유승민,,한 새,2,0,대구광역시,,18대,1
194,홍사덕,,친 새,6,0,대구광역시,,18대,0
195,이명규,,한 무,2,0,대구광역시,,18대,0
196,서상기,,한 새,2,0,대구광역시,,18대,0
197,이한구,,한 새,3,0,대구광역시,,18대,0
198,주호영,,한 새,2,0,대구광역시,,18대,7
199,박종근,,친 무,4,0,대구광역시,,18대,26
200,이해봉,,무 새,4,0,대구광역시,,18대,0
201,조원진,,친 새,1,0,대구광역시,,18대,9
202,박근혜,,한 새,4,0,대구광역시,,18대,0
203,이병석,,한 새,3,0,경상북도,,18대,1
204,이상득,,한 새,6,0,경상북도,,18대,6
205,김일윤,,친 무,5,0,경상북도,1.0,18대,0
206,정수성,,무 새,1,0,경상북도,,18대,0
207,이철우,,한 새,1,0,경상북도,,18대,0
208,김광림,,무 새,1,0,경상북도,,18대,2
209,김성조,,한 무,3,0,경상북도,,18대,1
210,김태환,,무 새,2,0,경상북도,,18대,10
211,장윤석,,한 새,2,0,경상북도,,18대,1
212,정희수,,한 새,2,0,경상북도,,18대,1
213,성윤환,,무 무,1,0,경상북도,,18대,12
214,이한선,,한 새,1,0,경상북도,,18대,0
215,최경환,,한 새,2,0,경상북도,,18대,12
216,이인기,,무 새,3,0,경상북도,,18대,1
217,정해걸,,무 새,1,0,경상북도,,18대,47
218,강석호,,한 새,1,0,경상북도,,18대,36
219,정의화,,한 새,4,0,부산광역시,,18대,9
220,유기준,,무 새,2,0,부산광역시,,18대,139
221,김형오,,한 새,5,0,부산광역시,,18대,14
222,허원제,,한 새,1,0,부산광역시,,18대,1
223,이종혁,,한 새,1,0,부산광역시,,18대,23
224,이진복,,무 새,1,0,부산광역시,,18대,0
225,김정훈,,한 새,2,0,부산광역시,,18대,5
226,김무성,,무 새,4,0,부산광역시,,18대,1
227,박민식,,한 새,1,0,부산광역시,,18대,10
228,허태열,,한 새,3,0,부산광역시,,18대,0
229,서병수,,한 새,3,0,부산광역시,,18대,1
230,안경률,,한 새,3,0,부산광역시,,18대,0
231,현기환,,한 새,1,0,부산광역시,,18대,0
232,조경태,,통 민,2,0,부산광역시,,18대,23
233,김세연,,무 새,1,0,부산광역시,,18대,3
234,박대해,,친 새,1,0,부산광역시,,18대,1
235,유재중,,무 새,1,0,부산광역시,,18대,1
236,장제원,,한 새,1,0,부산광역시,,18대,1
237,정갑윤,,한 새,3,0,울산광역시,,18대,1
238,최병국,,한 무,3,0,울산광역시,,18대,36
239,김기현,,한 새,2,0,울산광역시,,18대,0
240,안효대,,한 새,1,0,울산광역시,,18대,0
241,윤두환,,한 새,3,0,울산광역시,1.0,18대,0
242,조승수,,진신 통진,1,0,울산광역시,,18대,11
243,강길부,,무 새,2,0,울산광역시,,18대,9
244,권경석,,한 새,2,0,경상남도,,18대,8
245,권영길,,민 통,2,0,경상남도,,18대,4
246,이주영,,한 새,3,0,경상남도,,18대,9
247,안홍준,,한 새,2,0,경상남도,,18대,0
248,최구식,,무 무,2,0,경상남도,,18대,0
249,김재경,,한 새,2,0,경상남도,,18대,21
